GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_NAME	GO ASPECT
UniProtKB	Q60612	Adora1	part_of	GO:0043195	terminal bouton	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0042734	presynaptic membrane	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	enables	GO:0099582	neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium ion concentration	10090	Adenosine receptor A1	F
UniProtKB	Q60612	Adora1	part_of	GO:0099056	integral component of presynaptic membrane	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0048786	presynaptic active zone	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0044305	calyx of Held	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Adenosine receptor A1	P
UniProtKB	Q60612	Adora1	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Adenosine receptor A1	P
UniProtKB	Q60613	Adora2a	part_of	GO:0042734	presynaptic membrane	10090	Adenosine receptor A2a	C
UniProtKB	Q60613	Adora2a	part_of	GO:0099056	integral component of presynaptic membrane	10090	Adenosine receptor A2a	C
UniProtKB	Q60613	Adora2a	part_of	GO:0048786	presynaptic active zone	10090	Adenosine receptor A2a	C
UniProtKB	Q60613	Adora2a	part_of	GO:0099056	integral component of presynaptic membrane	10090	Adenosine receptor A2a	C
UniProtKB	Q60613	Adora2a	part_of	GO:0048786	presynaptic active zone	10090	Adenosine receptor A2a	C
UniProtKB	Q60613	Adora2a	part_of	GO:0042734	presynaptic membrane	10090	Adenosine receptor A2a	C
UniProtKB	Q60634	Flot2	part_of	GO:0099029	anchored component of presynaptic active zone membrane	10090	Flotillin-2	C
UniProtKB	Q60634	Flot2	part_of	GO:0099029	anchored component of presynaptic active zone membrane	10090	Flotillin-2	C
UniProtKB	Q60673	Ptprn	NOT|colocalizes_with	GO:0008021	synaptic vesicle	10090	Receptor-type tyrosine-protein phosphatase-like N	C
UniProtKB	Q60673	Ptprn	part_of	GO:0043679	axon terminus	10090	Receptor-type tyrosine-protein phosphatase-like N	C
UniProtKB	Q60673	Ptprn	part_of	GO:0043679	axon terminus	10090	Receptor-type tyrosine-protein phosphatase-like N	C
UniProtKB	Q60748	Crhr2	part_of	GO:0043679	axon terminus	10090	Corticotropin-releasing factor receptor 2	C
UniProtKB	Q60748	Crhr2	part_of	GO:0043679	axon terminus	10090	Corticotropin-releasing factor receptor 2	C
UniProtKB	Q60770	Stxbp3	involved_in	GO:0007269	neurotransmitter secretion	10090	Syntaxin-binding protein 3	P
UniProtKB	Q60770	Stxbp3	part_of	GO:0098793	presynapse	10090	Syntaxin-binding protein 3	C
UniProtKB	Q60770	Stxbp3	part_of	GO:0098793	presynapse	10090	Syntaxin-binding protein 3	C
UniProtKB	Q60857	Slc6a4	involved_in	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	enables	GO:0005335	serotonin:sodium symporter activity	10090	Sodium-dependent serotonin transporter	F
UniProtKB	Q60857	Slc6a4	enables	GO:0005335	serotonin:sodium symporter activity	10090	Sodium-dependent serotonin transporter	F
UniProtKB	Q60857	Slc6a4	enables	GO:0005335	serotonin:sodium symporter activity	10090	Sodium-dependent serotonin transporter	F
UniProtKB	Q60857	Slc6a4	enables	GO:0005335	serotonin:sodium symporter activity	10090	Sodium-dependent serotonin transporter	F
UniProtKB	Q60857	Slc6a4	part_of	GO:0099056	integral component of presynaptic membrane	10090	Sodium-dependent serotonin transporter	C
UniProtKB	Q60857	Slc6a4	acts_upstream_of_or_within	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	acts_upstream_of_or_within	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	enables	GO:0005335	serotonin:sodium symporter activity	10090	Sodium-dependent serotonin transporter	F
UniProtKB	Q60857	Slc6a4	enables	GO:0005335	serotonin:sodium symporter activity	10090	Sodium-dependent serotonin transporter	F
UniProtKB	Q60857	Slc6a4	part_of	GO:0099056	integral component of presynaptic membrane	10090	Sodium-dependent serotonin transporter	C
UniProtKB	Q60857	Slc6a4	involved_in	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	involved_in	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	involved_in	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	involved_in	GO:0051610	serotonin uptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60857	Slc6a4	involved_in	GO:0098810	neurotransmitter reuptake	10090	Sodium-dependent serotonin transporter	P
UniProtKB	Q60895	Olfr150	part_of	GO:0030672	synaptic vesicle membrane	10090	Olfactory receptor 150	C
UniProtKB	Q60930	Vdac2	part_of	GO:0008021	synaptic vesicle	10090	Voltage-dependent anion-selective channel protein 2	C
UniProtKB	Q60930	Vdac2	part_of	GO:0008021	synaptic vesicle	10090	Voltage-dependent anion-selective channel protein 2	C
UniProtKB	Q60931	Vdac3	part_of	GO:0008021	synaptic vesicle	10090	Voltage-dependent anion-selective channel protein 3	C
UniProtKB	Q60932	Vdac1	part_of	GO:0008021	synaptic vesicle	10090	Voltage-dependent anion-selective channel protein 1	C
UniProtKB	Q60932	Vdac1	part_of	GO:0008021	synaptic vesicle	10090	Voltage-dependent anion-selective channel protein 1	C
UniProtKB	Q60934	Grik1	part_of	GO:0042734	presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 1	C
UniProtKB	Q60934	Grik1	part_of	GO:0042734	presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 1	C
UniProtKB	Q60934	Grik1	part_of	GO:0042734	presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 1	C
UniProtKB	Q60934	Grik1	part_of	GO:0043195	terminal bouton	10090	Glutamate receptor ionotropic, kainate 1	C
UniProtKB	Q60934	Grik1	part_of	GO:0099056	integral component of presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 1	C
UniProtKB	Q60HC0	SYT1	involved_in	GO:0007269	neurotransmitter secretion	9541	Synaptotagmin-1	P
UniProtKB	Q60HC0	SYT1	part_of	GO:0008021	synaptic vesicle	9541	Synaptotagmin-1	C
UniProtKB	Q60HC0	SYT1	part_of	GO:0030672	synaptic vesicle membrane	9541	Synaptotagmin-1	C
